             version              nb_cpu                   N                   h                 N_t                 h_t        erreur_infty               temps
          1.00000000                 nan        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         51.66673800
          2.00000000          1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         51.94206200
          2.00000000          2.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         29.93495700
          2.00000000          4.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         20.38196900
          2.00000000          6.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         25.58152700
          2.00000000          8.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         21.82839800
          3.00000000          1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         53.90564800
          3.00000000          2.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         31.84814300
          3.00000000          4.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         20.28690500
          3.00000000          6.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         31.47243400
          3.00000000          8.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         30.29446600
          4.00000000                 nan        200.00000000          0.00500000        200.00000000          0.00500000                 nan          0.34823900
          5.00000000                 nan        200.00000000          0.00500000        200.00000000          0.00500000                 nan          0.32060200
          4.00000000                 nan        400.00000000          0.00250000        400.00000000          0.00250000                 nan          3.30571900
          5.00000000                 nan        400.00000000          0.00250000        400.00000000          0.00250000                 nan          3.15250900
          4.00000000                 nan        600.00000000          0.00166667        600.00000000          0.00166667                 nan         11.56834200
          5.00000000                 nan        600.00000000          0.00166667        600.00000000          0.00166667                 nan         11.24467800
          4.00000000                 nan        800.00000000          0.00125000        800.00000000          0.00125000                 nan         29.00669300
          5.00000000                 nan        800.00000000          0.00125000        800.00000000          0.00125000                 nan         27.27378700
          4.00000000                 nan       1000.00000000          0.00100000       1000.00000000          0.00100000                 nan         55.86363900
          5.00000000                 nan       1000.00000000          0.00100000       1000.00000000          0.00100000                 nan         55.24383100
          4.00000000                 nan       1200.00000000          0.00083333       1200.00000000          0.00083333                 nan         96.33410000
          5.00000000                 nan       1200.00000000          0.00083333       1200.00000000          0.00083333                 nan         95.18209500
          4.00000000                 nan       1400.00000000          0.00071429       1400.00000000          0.00071429                 nan        156.78222500
          5.00000000                 nan       1400.00000000          0.00071429       1400.00000000          0.00071429                 nan        152.04628000
