             version              nb_cpu                   N        nb_iteration        erreur_infty               temps
          0.00000000                 nan          5.00000000                 nan          0.00163444          0.00000800
          1.00000000                 nan          5.00000000         21.00000000          0.00163444          0.00000500
          2.00000000          1.00000000          5.00000000         21.00000000          0.00163444          0.00003300
          2.00000000          2.00000000          5.00000000         21.00000000          0.00163444          0.00037200
          2.00000000          4.00000000          5.00000000         21.00000000          0.00163444          0.00032800
          2.00000000          6.00000000          5.00000000         21.00000000          0.00163444          0.00040100
          2.00000000          8.00000000          5.00000000         21.00000000          0.00163444          0.00063800
          3.00000000          1.00000000          5.00000000         21.00000000          0.00163444          0.00091600
          3.00000000          2.00000000          5.00000000         21.00000000          0.00163444          0.00229700
          3.00000000          4.00000000          5.00000000         21.00000000          0.00163444          0.00084500
          3.00000000          6.00000000          5.00000000         21.00000000          0.00163444          0.00126300
          3.00000000          8.00000000          5.00000000         21.00000000          0.00163444          0.00379100
          4.00000000          1.00000000          5.00000000         21.00000000          0.00163444          0.00137500
          4.00000000          2.00000000          5.00000000         21.00000000          0.00163444          0.00109800
          4.00000000          4.00000000          5.00000000         21.00000000          0.00163444          0.00081400
          4.00000000          6.00000000          5.00000000         21.00000000          0.00163444          0.00169800
          4.00000000          8.00000000          5.00000000         40.00000000          0.00428536          0.00500600
          5.00000000                 nan          5.00000000                 nan          0.00163444          0.00000400
          6.00000000                 nan          5.00000000                 nan          0.00163444          0.00068800
          0.00000000                 nan         10.00000000                 nan          0.00038444          0.00038100
          1.00000000                 nan         10.00000000        102.00000000          0.00038444          0.00001200
          2.00000000          1.00000000         10.00000000        102.00000000          0.00038444          0.00004000
          2.00000000          2.00000000         10.00000000        102.00000000          0.00038444          0.00114900
          2.00000000          4.00000000         10.00000000        102.00000000          0.00038444          0.00144600
          2.00000000          6.00000000         10.00000000        102.00000000          0.00038444          0.00248900
          2.00000000          8.00000000         10.00000000        102.00000000          0.00038444          0.00316000
          3.00000000          1.00000000         10.00000000        102.00000000          0.00038444          0.00004300
          3.00000000          2.00000000         10.00000000        102.00000000          0.00038444          0.00078700
          3.00000000          4.00000000         10.00000000        102.00000000          0.00038444          0.00112900
          3.00000000          6.00000000         10.00000000        102.00000000          0.00038444          0.00236300
          3.00000000          8.00000000         10.00000000        102.00000000          0.00038444          0.00277100
          4.00000000          1.00000000         10.00000000        102.00000000          0.00038444          0.00005700
          4.00000000          2.00000000         10.00000000        102.00000000          0.00038444          0.00068200
          4.00000000          4.00000000         10.00000000        102.00000000          0.00038444          0.00103300
          4.00000000          6.00000000         10.00000000        102.00000000          0.00038444          0.00261100
          4.00000000          8.00000000         10.00000000        102.00000000          0.00038444          0.00557700
